date,close,volume,return,sentiment_score,article_count,sentiment_label,volatility_10d,volatility_20d,garch_volatility,abs_return,sentiment_extremity
2025-11-24,46.46,441000,1.1319111885067512,0.1373719018753766,25,positive,33.07424717545055,44.58171866788926,37.753916536249804,1.1319111885067512,0.1373719018753766
2025-11-25,47.08,385500,1.334481274214383,0.0937591239646754,22,positive,35.23485675239052,44.824580492968884,37.05136316432736,1.334481274214383,0.0937591239646754
2025-11-26,47.9,718900,1.7417162276975429,0.048050951740394,15,neutral,36.43238147138669,45.28654488794853,36.59688960748228,1.7417162276975429,0.048050951740394
2025-11-28,48.91,573800,2.108559498956164,-0.0312706600098049,17,neutral,32.32885615911544,45.39612959435418,36.427788599195516,2.108559498956164,0.0312706600098049
2025-12-01,47.64,470800,-2.596606011040681,-0.1275748963681788,29,negative,32.76404721267055,45.178440008962966,36.49233117391915,2.596606011040681,0.1275748963681788
2025-12-02,47.63,241100,-0.0209907640638107,0.1755567710124328,20,positive,32.14842826195435,45.1761528233968,36.99629847636716,0.0209907640638107,0.1755567710124328
2025-12-03,47.38,351400,-0.5248792777661104,0.1089346400981247,25,positive,31.827276461968676,44.35869098949736,36.34639106761857,0.5248792777661104,0.1089346400981247
2025-12-04,48.04,434300,1.3929928239763578,0.253041600996524,25,positive,32.057905859342526,36.35400250485831,35.92154413761987,1.3929928239763578,0.253041600996524
2025-12-05,47.69,312400,-0.7285595337219064,0.1074137166490679,19,positive,22.713641834210215,35.82390892514679,35.79093849346731,0.7285595337219064,0.1074137166490679
2025-12-08,47.59,319200,-0.20968756552735,0.0925744496278464,28,positive,22.917913445304734,35.768723313568,35.557304696293365,0.20968756552735,0.0925744496278464
2025-12-09,47.47,646000,-0.252153813826439,0.0735431328511413,17,positive,22.669363865392036,30.136790976453636,35.300462493371164,0.252153813826439,0.0735431328511413
2025-12-10,48.78,1254900,2.7596376658942434,0.1000557424330903,31,positive,25.56697640024747,31.790651059467795,35.11699816523627,2.7596376658942434,0.1000557424330903
2025-12-11,49.24,1931900,0.9430094300943104,0.0089968889929354,18,neutral,24.662898903774828,30.979484714964002,35.98139209165268,0.9430094300943104,0.0089968889929354
2025-12-12,47.84,1353211,-2.843216896831846,0.1098878609757192,22,positive,26.8530074689261,29.03841886705633,35.697642620877154,2.843216896831846,0.1098878609757192
