Date,Open,High,Low,Close,Adj Close ,Volume
15-Jan-25,590.33,593.94,589.2,592.78,587.63,"56,900,200"
14-Jan-25,584.36,585,578.35,582.19,577.13,"48,420,600"
13-Jan-25,575.77,581.75,575.35,581.39,576.34,"47,910,100"
10-Jan-25,585.88,585.95,578.55,580.49,575.45,"73,105,000"
8-Jan-25,588.7,590.58,585.2,589.49,584.37,"47,304,700"
7-Jan-25,597.42,597.75,586.78,588.63,583.52,"60,393,100"
6-Jan-25,596.27,599.7,593.6,595.36,590.19,"47,679,400"
3-Jan-25,587.53,592.6,586.43,591.95,586.81,"37,888,500"
2-Jan-25,589.39,591.13,580.5,584.64,579.56,"50,204,000"
31-Dec-24,589.91,590.64,584.42,586.08,580.99,"57,052,700"
30-Dec-24,587.89,591.74,584.41,588.22,583.11,"56,578,800"
27-Dec-24,597.54,597.78,590.76,595.01,589.84,"64,969,300"
26-Dec-24,599.5,602.48,598.08,601.34,596.12,"41,219,100"
24-Dec-24,596.06,601.34,595.47,601.3,596.08,"33,160,100"
23-Dec-24,590.89,595.3,587.66,594.69,589.52,"57,635,800"
20-Dec-24,581.77,595.75,580.91,591.15,586.02,"125,716,700"
19-Dec-24,591.36,593,585.85,586.1,579.06,"85,919,500"
18-Dec-24,603.98,606.41,585.89,586.28,579.24,"108,248,700"
17-Dec-24,604.19,605.17,602.89,604.29,597.03,"55,773,500"
16-Dec-24,606,607.78,605.21,606.79,599.5,"43,695,200"
13-Dec-24,606.4,607.13,602.81,604.21,596.95,"35,904,700"
12-Dec-24,606.58,607.16,604.33,604.33,597.07,"31,543,800"
11-Dec-24,605.78,608.43,605.5,607.46,600.16,"28,677,700"
10-Dec-24,605.37,605.8,602.13,602.8,595.56,"37,234,500"
9-Dec-24,607.69,607.86,604.08,604.68,597.42,"34,742,700"
6-Dec-24,607.44,609.07,607.02,607.81,600.51,"31,241,500"
5-Dec-24,607.66,608.48,606.3,606.66,599.37,"28,762,200"
4-Dec-24,605.63,607.91,604.95,607.66,600.36,"42,787,600"
3-Dec-24,603.39,604.16,602.34,603.91,596.66,"26,906,600"
2-Dec-24,602.97,604.32,602.47,603.63,596.38,"31,746,000"
29-Nov-24,599.66,603.35,599.38,602.55,595.31,"30,177,400"
27-Nov-24,600.46,600.85,597.28,598.83,591.64,"34,000,200"
26-Nov-24,598.8,601.33,598.07,600.65,593.44,"45,621,300"
25-Nov-24,599.52,600.86,595.2,597.53,590.35,"42,441,400"
22-Nov-24,593.66,596.15,593.15,595.51,588.36,"38,226,400"
21-Nov-24,593.4,595.12,587.45,593.67,586.54,"46,750,300"
20-Nov-24,590.38,590.79,584.63,590.5,583.41,"50,032,600"
19-Nov-24,584.71,591.04,584.03,590.3,583.21,"49,412,000"
18-Nov-24,586.22,589.49,585.34,588.15,581.09,"37,001,700"
15-Nov-24,589.72,590.2,583.86,585.75,578.71,"75,988,800"
14-Nov-24,597.32,597.81,592.65,593.35,586.22,"38,904,100"
13-Nov-24,597.37,599.23,594.96,597.19,590.02,"47,388,600"
12-Nov-24,598.68,599.29,594.37,596.9,589.73,"43,006,100"
